Symbol,Name,Price (Intraday),Market Cap,PE Ratio (TTM),Sector
AAPL,Apple Inc.,227.55,3.46T,34.58,Technology
NVDA,NVIDIA Corporation,134.8,3.307T,63.29,Technology
MSFT,Microsoft Corporation,416.32,3.095T,35.34,Technology
AVGO,Broadcom Inc.,181.48,847.617B,147.54,Technology
ORCL,Oracle Corporation,175.77,487.069B,45.3,Technology
CRM,"Salesforce, Inc.",288.1,275.424B,50.28,Technology
AMD,"Advanced Micro Devices, Inc.",167.89,271.727B,199.87,Technology
ACN,Accenture plc,360.74,225.823B,31.53,Technology
ADBE,Adobe Inc.,495.42,218.084B,42.02,Technology
CSCO,"Cisco Systems, Inc.",54.25,216.497B,21.36,Technology
IBM,International Business Machines Corporation,233.26,214.867B,25.77,Technology
NOW,"ServiceNow, Inc.",938.59,193.215B,169.42,Technology
QCOM,QUALCOMM Incorporated,169.98,189.358B,21.74,Technology
TXN,Texas Instruments Incorporated,205.11,187.275B,35.61,Technology
UBER,"Uber Technologies, Inc.",86.34,181.395B,93.85,Technology
INTU,Intuit Inc.,616.68,172.85B,59.18,Technology
AMAT,"Applied Materials, Inc.",205.06,169.052B,23.04,Technology
ANET,"Arista Networks, Inc.",416.93,130.98B,54.08,Technology
PANW,"Palo Alto Networks, Inc.",373.2,121.514B,51.26,Technology
MU,"Micron Technology, Inc.",106.92,118.546B,154.96,Technology
ADP,"Automatic Data Processing, Inc.",288.36,117.601B,31.65,Technology
ADI,"Analog Devices, Inc.",232.86,115.613B,69.93,Technology
FI,"Fiserv, Inc.",190.35,109.589B,33.1,Technology
KLAC,KLA Corporation,803.73,107.681B,39.69,Technology
LRCX,Lam Research Corporation,82.89,107.435B,28.58,Technology
INTC,Intel Corporation,23.56,100.743B,98.17,Technology
PLTR,Palantir Technologies Inc.,43.51,97.438B,255.94,Technology
DELL,Dell Technologies Inc.,127.73,89.666B,23.52,Technology
SNPS,"Synopsys, Inc.",539.92,82.939B,55.55,Technology
APH,Amphenol Corporation,65.56,78.953B,39.26,Technology
CRWD,"CrowdStrike Holdings, Inc.",320.21,78.492B,457.44,Technology
MSI,"Motorola Solutions, Inc.",467.94,78.072B,54.67,Technology
CDNS,"Cadence Design Systems, Inc.",282.39,77.324B,72.97,Technology
MRVL,"Marvell Technology, Inc.",74.01,64.107B,N/A,Technology
WDAY,"Workday, Inc.",240.9,63.838B,41.46,Technology
FTNT,"Fortinet, Inc.",82.87,63.388B,49.04,Technology
ADSK,"Autodesk, Inc.",281.67,60.702B,57.84,Technology
NXPI,NXP Semiconductors N.V.,238.1,60.652B,22.27,Technology
ROP,"Roper Technologies, Inc.",551.55,59.126B,41.16,Technology
TTD,"The Trade Desk, Inc.",117.9,58.154B,231.18,Technology
PAYX,"Paychex, Inc.",138.89,49.986B,29.61,Technology
FICO,Fair Isaac Corporation,"2,031.00",49.797B,106.39,Technology
APP,AppLovin Corporation,147,49.135B,62.82,Technology
TEAM,Atlassian Corporation,187.06,48.641B,N/A,Technology
FIS,"Fidelity National Information Services, Inc.",86.75,47.328B,85.89,Technology
MPWR,"Monolithic Power Systems, Inc.",938.47,45.752B,111.06,Technology
TEL,TE Connectivity plc,147.51,44.831B,13.21,Technology
DDOG,"Datadog, Inc.",129.81,43.766B,276.19,Technology
MSTR,MicroStrategy Incorporated,212.59,43.077B,N/A,Technology
SQ,"Block, Inc.",69.7,42.91B,64.54,Technology
MCHP,Microchip Technology Incorporated,77.98,41.837B,31.07,Technology
SNOW,Snowflake Inc.,124.03,41.575B,N/A,Technology
IT,"Gartner, Inc.",521.22,40.165B,49.5,Technology
GLW,Corning Incorporated,46.46,39.756B,91.1,Technology
CTSH,Cognizant Technology Solutions Corporation,75.94,37.752B,17.3,Technology
